Ranking,ID_Cliente,Probabilidade_Churn,Faixa_Risco,Principais_Fatores_de_Risco,Meses_de_Contrato,Tipo_Contrato,Servico_Internet,Mensalidade,Total_Pago,Forma_Pagamento,Fatura_Sem_Papel,Genero,Idoso,Tem_Parceiro,Tem_Dependentes
44,4445-ZJNMU,71.3,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Mensalidade alta",9,Month-to-month,Fiber optic,99.3,918.75,Credit card (automatic),Yes,Male,0,No,No
45,1200-TUZHR,71.3,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",8,Month-to-month,Fiber optic,85.2,695.75,Electronic check,No,Female,1,No,No
46,8242-SOQUO,71.3,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",5,Month-to-month,Fiber optic,84.7,392.5,Electronic check,Yes,Female,1,No,No
47,3318-NMQXL,71.1,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",3,Month-to-month,Fiber optic,92.0,266.8,Electronic check,Yes,Male,0,No,No
48,4749-OJKQU,71.1,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",4,Month-to-month,Fiber optic,75.65,302.35,Electronic check,Yes,Female,0,No,No
49,4395-PZMSN,70.8,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",5,Month-to-month,Fiber optic,85.55,408.5,Electronic check,Yes,Male,1,No,No
50,6137-NICCO,70.5,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Mensalidade alta",6,Month-to-month,Fiber optic,94.05,518.75,Mailed check,Yes,Female,0,Yes,Yes
51,9334-GWGOW,70.0,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",7,Month-to-month,Fiber optic,74.85,485.25,Electronic check,Yes,Male,1,Yes,No
52,2077-MPJQO,70.0,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",7,Month-to-month,Fiber optic,75.4,533.05,Electronic check,Yes,Male,1,Yes,No
53,3030-YDNRM,70.0,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",8,Month-to-month,Fiber optic,74.85,572.45,Electronic check,Yes,Male,0,No,No
54,4273-MBHYA,69.9,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",1,Month-to-month,Fiber optic,89.35,89.35,Electronic check,Yes,Female,0,No,Yes
55,8873-GLDMH,69.7,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Mensalidade alta",6,Month-to-month,Fiber optic,73.85,401.3,Mailed check,Yes,Female,0,No,No
56,6357-JJPQT,69.6,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",3,Month-to-month,Fiber optic,80.5,232.35,Electronic check,Yes,Female,0,No,No
57,9094-AZPHK,69.4,Alto,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",15,Month-to-month,Fiber optic,100.15,1415.0,Electronic check,Yes,Female,0,No,No
58,0187-QSXOE,69.2,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",7,Month-to-month,Fiber optic,89.0,605.45,Electronic check,Yes,Male,1,Yes,No
59,7363-QTBIW,68.9,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",9,Month-to-month,Fiber optic,79.75,769.1,Electronic check,Yes,Female,0,Yes,No
60,2123-AGEEN,68.9,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",7,Month-to-month,Fiber optic,84.35,609.65,Electronic check,Yes,Female,1,No,No
61,0840-DFEZH,68.8,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",7,Month-to-month,Fiber optic,75.35,564.65,Electronic check,Yes,Female,0,No,No
62,2789-HQBOU,68.7,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",3,Month-to-month,Fiber optic,80.35,253.8,Electronic check,Yes,Male,0,No,No
63,9957-YODKZ,68.7,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",6,Month-to-month,Fiber optic,80.8,457.1,Electronic check,Yes,Male,1,Yes,No
64,3199-XGZCY,68.6,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",8,Month-to-month,Fiber optic,75.25,576.7,Electronic check,Yes,Female,0,No,No
65,1960-UYCNN,68.5,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",10,Month-to-month,Fiber optic,95.25,1021.55,Electronic check,Yes,Male,0,No,No
66,8087-LGYHQ,68.3,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",9,Month-to-month,Fiber optic,94.05,811.65,Electronic check,Yes,Male,0,No,No
67,8541-QVFKM,67.7,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",8,Month-to-month,Fiber optic,73.5,632.2,Electronic check,Yes,Female,0,No,No
68,4060-LDNLU,67.6,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",7,Month-to-month,Fiber optic,96.2,639.7,Electronic check,No,Male,0,No,No
69,6229-LSCKB,67.5,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",6,Month-to-month,Fiber optic,79.7,497.6,Electronic check,Yes,Male,1,No,No
70,4633-MKHYU,67.4,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Mensalidade alta",9,Month-to-month,Fiber optic,88.4,788.6,Mailed check,Yes,Female,0,No,No
71,1219-NNDDO,67.1,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",9,Month-to-month,Fiber optic,76.85,663.55,Electronic check,Yes,Female,0,No,No
72,1173-XZPYF,67.1,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",11,Month-to-month,Fiber optic,89.2,990.3,Electronic check,Yes,Female,0,No,No
73,5429-LWCMV,67.0,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",12,Month-to-month,Fiber optic,89.15,1057.55,Electronic check,Yes,Female,0,No,No
74,6860-YRJZP,67.0,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",9,Month-to-month,Fiber optic,74.05,678.45,Electronic check,Yes,Male,1,No,No
75,7858-GTZSP,66.7,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",12,Month-to-month,Fiber optic,86.55,1066.9,Electronic check,Yes,Female,0,No,No
76,9643-AVVWI,66.7,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",3,Month-to-month,Fiber optic,80.0,241.3,Electronic check,Yes,Female,0,Yes,Yes
77,2688-BHGOG,66.5,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",9,Month-to-month,Fiber optic,79.55,718.55,Electronic check,Yes,Male,1,No,No
78,5348-CAGXB,66.4,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",12,Month-to-month,Fiber optic,89.55,1021.75,Electronic check,Yes,Male,0,No,No
79,5043-TRZWM,66.4,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",1,Month-to-month,Fiber optic,75.55,75.55,Electronic check,No,Female,0,No,No
80,7354-OIJLX,66.4,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",9,Month-to-month,Fiber optic,75.85,724.65,Electronic check,Yes,Male,0,No,No
81,5928-QLDHB,66.2,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",9,Month-to-month,Fiber optic,76.25,684.85,Electronic check,Yes,Male,0,No,No
82,2018-QKYGT,66.0,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",1,Month-to-month,Fiber optic,81.05,81.05,Electronic check,Yes,Male,0,Yes,Yes
83,6496-JDSSB,65.7,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Mensalidade alta",8,Month-to-month,Fiber optic,80.0,624.6,Bank transfer (automatic),Yes,Female,0,No,No
84,9696-RMYBA,65.6,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Mensalidade alta",5,Month-to-month,Fiber optic,80.1,398.55,Mailed check,Yes,Male,0,No,No
85,6851-WEFYX,65.5,Alto,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",35,Month-to-month,Fiber optic,100.8,3437.5,Electronic check,Yes,Male,1,Yes,No
86,5168-MSWXT,65.4,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",8,Month-to-month,Fiber optic,94.75,759.55,Electronic check,Yes,Male,0,Yes,Yes
87,3295-YVUSR,64.9,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Mensalidade alta",2,Month-to-month,Fiber optic,72.6,154.3,Mailed check,Yes,Male,1,No,No
88,7392-YYPYJ,64.8,Alto,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",22,Month-to-month,Fiber optic,100.65,2415.95,Electronic check,Yes,Male,0,No,No
89,2674-MIAHT,64.8,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Mensalidade alta",4,Month-to-month,Fiber optic,80.3,324.2,Mailed check,Yes,Female,0,No,No
90,5652-MSDEY,64.6,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Mensalidade alta",10,Month-to-month,Fiber optic,75.75,777.3,Mailed check,Yes,Female,0,No,No
91,0432-CAJZV,64.6,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Mensalidade alta",3,Month-to-month,Fiber optic,90.7,237.65,Mailed check,No,Male,0,No,No
92,7394-LWLYN,64.5,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",2,Month-to-month,Fiber optic,70.15,123.8,Electronic check,Yes,Female,0,No,No
93,2800-VEQXM,64.5,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Mensalidade alta",3,Month-to-month,Fiber optic,74.75,238.1,Mailed check,Yes,Female,0,No,No
94,4770-UEZOX,64.4,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",2,Month-to-month,Fiber optic,74.75,144.8,Electronic check,Yes,Male,0,No,No
95,8325-QRPZR,64.4,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",7,Month-to-month,Fiber optic,75.15,525.0,Electronic check,Yes,Female,0,No,No
96,5399-ZIMKF,64.2,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",5,Month-to-month,Fiber optic,74.65,383.65,Electronic check,Yes,Male,0,No,No
97,6583-KQJLK,64.2,Alto,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",15,Month-to-month,Fiber optic,94.65,1285.05,Electronic check,Yes,Female,1,Yes,No
98,2959-FENLU,64.1,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Mensalidade alta",9,Month-to-month,Fiber optic,85.3,781.4,Credit card (automatic),Yes,Female,0,No,No
99,7517-LDMPS,64.0,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",12,Month-to-month,Fiber optic,84.6,1017.35,Electronic check,Yes,Female,0,No,No
100,8132-YPVBX,63.9,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Mensalidade alta",6,Month-to-month,Fiber optic,85.95,514.6,Mailed check,Yes,Female,0,No,No
101,5442-BHQNG,63.9,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",2,Month-to-month,Fiber optic,70.35,139.25,Electronic check,No,Female,0,No,No
102,4059-IIEBK,63.7,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Mensalidade alta",7,Month-to-month,Fiber optic,78.55,522.95,Bank transfer (automatic),Yes,Female,0,No,No
103,7365-BVCJH,63.7,Alto,"Contrato mensal, Cliente novo (≤12 meses), Pagamento por cheque eletrônico",1,Month-to-month,DSL,24.4,24.4,Electronic check,Yes,Male,0,No,No
104,4482-EWFMI,63.5,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico",2,Month-to-month,Fiber optic,69.7,135.2,Electronic check,Yes,Female,0,No,No
105,7402-EYFXX,63.5,Alto,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",26,Month-to-month,Fiber optic,93.6,2404.1,Electronic check,Yes,Male,1,No,No
106,7225-CBZPL,63.4,Alto,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",17,Month-to-month,Fiber optic,94.8,1563.9,Electronic check,Yes,Male,1,Yes,No
107,4298-OYIFC,63.3,Alto,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",15,Month-to-month,Fiber optic,103.45,1539.8,Electronic check,Yes,Male,0,Yes,No
108,5382-SOYZL,63.3,Alto,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",22,Month-to-month,Fiber optic,95.1,2162.6,Electronic check,Yes,Male,0,No,No
109,3370-HXOPH,63.3,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",3,Month-to-month,Fiber optic,76.1,257.6,Electronic check,No,Female,0,No,No
110,9633-XQABV,63.1,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",3,Month-to-month,Fiber optic,70.25,229.7,Electronic check,Yes,Female,0,No,No
111,7823-JSOAG,63.0,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",3,Month-to-month,Fiber optic,74.5,217.45,Electronic check,No,Male,0,No,No
112,7321-VGNKU,63.0,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",2,Month-to-month,Fiber optic,70.35,120.25,Electronic check,Yes,Female,0,Yes,No
113,1077-HUUJM,62.9,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",7,Month-to-month,Fiber optic,71.05,472.65,Electronic check,Yes,Female,0,No,Yes
114,4559-UWIHT,62.9,Alto,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",14,Month-to-month,Fiber optic,82.65,1185.0,Electronic check,Yes,Male,0,Yes,No
115,4132-KALRO,62.8,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Mensalidade alta",4,Month-to-month,Fiber optic,100.85,399.25,Mailed check,Yes,Female,0,No,No
116,1751-NCDLI,62.8,Alto,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",46,Month-to-month,Fiber optic,98.85,4564.9,Electronic check,Yes,Male,1,Yes,No
117,6077-BDPXA,62.7,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",3,Month-to-month,Fiber optic,70.15,194.2,Electronic check,Yes,Female,0,No,No
118,6407-UTSLV,62.7,Alto,"Contrato mensal, Cliente novo (≤12 meses), Internet fibra óptica, Mensalidade alta",2,Month-to-month,Fiber optic,83.8,163.7,Bank transfer (automatic),Yes,Female,1,No,No
119,6215-NQCPY,62.6,Alto,"Contrato mensal, Internet fibra óptica, Pagamento por cheque eletrônico, Mensalidade alta",15,Month-to-month,Fiber optic,99.7,1566.75,Electronic check,Yes,Male,0,No,No
